,año,conglome,vivienda,hogar,codperso,ubigeo_x,desercion_escolar,sexo,edad,area_geografica,lengua_materna,tipo_de_colegio,programa,situacion_laboral,años_educacion_padre,años_educacion_madre,ubigeo_y,ingreso_familiar,tamaño_familiar,internet,tv,celular
125,2021,5103,70,11,3,10701,0,0,16,0,1,1,1,1,2,1,10701,201.82662760416667,5,0,0,1
126,2021,5103,70,11,4,10701,0,1,13,0,1,1,1,0,2,1,10701,201.82662760416667,5,0,0,1
127,2021,5103,70,11,5,10701,0,0,10,0,1,1,1,0,2,1,10701,201.82662760416667,5,0,0,1
128,2021,5103,71,11,3,10701,0,1,11,0,1,1,1,0,1,1,10701,588.6841634114584,4,0,1,1
129,2021,5103,71,11,4,10701,0,0,11,0,1,1,1,0,1,1,10701,588.6841634114584,4,0,1,1
130,2021,5103,72,11,3,10701,0,0,17,0,1,0,0,0,2,2,10701,836.3382161458334,5,1,1,1
131,2021,5103,72,11,4,10701,0,1,10,0,1,1,1,0,2,2,10701,836.3382161458334,5,1,1,1
132,2021,5103,192,11,3,10701,0,1,17,0,1,1,1,1,2,1,10701,452.2138671875,4,0,0,1
133,2021,5103,192,11,4,10701,0,1,12,0,1,1,1,0,2,1,10701,452.2138671875,4,0,0,1
134,2021,5119,45,11,4,10705,0,1,16,0,1,0,0,1,2,2,10705,606.9669921875,5,0,1,1
135,2021,5119,45,11,5,10705,0,0,7,0,1,1,1,0,2,2,10705,606.9669921875,5,0,1,1
136,2021,5119,48,11,2,10705,0,0,17,0,1,1,1,0,3,3,10705,381.94647894965277,6,1,0,1
137,2021,5119,48,11,3,10705,0,1,14,0,1,1,1,1,3,3,10705,381.94647894965277,6,1,0,1
138,2021,5119,48,11,4,10705,0,0,12,0,1,1,1,0,3,3,10705,381.94647894965277,6,1,0,1
139,2021,5119,48,11,5,10705,0,1,9,0,1,1,1,0,3,3,10705,381.94647894965277,6,1,0,1
140,2021,5119,49,11,4,10705,0,0,18,0,1,0,0,0,1,1,10705,794.6610677083333,5,1,1,1
141,2021,5119,49,11,5,10705,0,0,9,0,1,1,1,0,1,1,10705,794.6610677083333,5,1,1,1
142,2021,5119,100,11,3,10705,0,0,12,0,1,1,1,0,2,4,10705,1071.739040798611,3,1,1,1
143,2021,5119,101,11,2,10705,0,0,17,0,1,0,0,1,3,3,10705,682.91943359375,4,1,1,1
144,2021,5119,101,11,3,10705,0,0,11,0,1,1,1,0,3,3,10705,682.91943359375,4,1,1,1
145,2021,5120,109,11,3,10705,0,1,12,0,1,1,1,0,2,3,10705,447.41303168402777,3,0,1,1
146,2021,5120,227,11,3,10705,0,1,7,0,1,1,0,0,2,1,10705,231.90638563368054,3,0,0,1
147,2021,5121,35,11,3,10705,0,1,13,0,1,1,1,0,2,1,10705,176.55379231770834,6,0,0,1
148,2021,5121,35,11,4,10705,0,1,11,0,1,1,1,0,2,1,10705,176.55379231770834,6,0,0,1
149,2021,5121,35,11,5,10705,0,0,9,0,1,1,1,0,2,1,10705,176.55379231770834,6,0,0,1
150,2021,5121,38,11,3,10705,0,0,14,0,1,1,1,0,1,1,10705,118.80106608072917,4,0,0,1
151,2021,5121,38,11,4,10705,0,0,8,0,1,1,1,0,1,1,10705,118.80106608072917,4,0,0,1
152,2021,5121,115,11,3,10705,0,1,12,0,1,1,1,0,2,1,10705,520.1800672743055,3,1,0,1
153,2021,5121,116,11,4,10705,0,1,15,0,1,1,1,1,3,2,10705,418.4982503255208,8,1,0,1
154,2021,5121,116,11,5,10705,0,1,12,0,1,1,0,0,3,2,10705,418.4982503255208,8,1,0,1
155,2021,5121,116,11,6,10705,0,1,9,0,1,1,1,0,3,2,10705,418.4982503255208,8,1,0,1
156,2021,5121,116,11,7,10705,0,1,6,0,1,1,0,0,3,2,10705,418.4982503255208,8,1,0,1
157,2021,5121,118,11,2,10705,1,1,13,0,1,1,0,0,1,1,10705,360.6414794921875,2,0,0,1
158,2021,5131,1,11,3,10512,1,1,17,0,1,1,0,1,3,3,10512,557.2977864583333,5,0,0,1
159,2021,5131,1,11,4,10512,0,0,14,0,1,1,1,0,3,3,10512,557.2977864583333,5,0,0,1
160,2021,5131,1,11,5,10512,0,1,8,0,1,1,1,0,3,3,10512,557.2977864583333,5,0,0,1
161,2021,5131,57,11,3,10512,0,1,18,0,1,1,1,1,1,1,10512,492.09736328125,5,1,0,1
162,2021,5131,57,11,4,10512,0,1,17,0,1,1,1,0,1,1,10512,492.09736328125,5,1,0,1
163,2021,5131,57,11,5,10512,0,0,15,0,1,1,1,0,1,1,10512,492.09736328125,5,1,0,1
164,2021,5131,101,11,2,10512,0,1,14,0,1,1,1,0,2,2,10512,1516.9710286458333,2,1,0,1
165,2021,5131,122,11,3,10512,0,1,16,0,1,1,1,1,2,2,10512,211.86812337239584,4,1,0,1
